Temperature (C)        Pressure (lbs/in**2)
36.63                 13.14
32.13                 16.17
34.02                 14.27
27.32                 8.77
35.37                 12.85
28.12                 18.58
30.47                 17.32
24.30                 12.19
26.53                 13.91
23.58                 11.48
35.44                 12.52
29.25                 15.54
31.34                 12.48
26.84                 15.70
35.72                 14.54
31.58                 15.39
31.33                 9.78
29.66                 19.12
29.29                 12.61
29.49                 12.13
24.37                 14.14
26.32                 14.82
27.49                 15.76
29.53                 13.72
28.08                 15.65
30.16                 15.89
24.46                 14.17
22.83                 17.78
27.87                 13.87
30.36                 13.28
24.25                 13.31
27.42                 17.05
34.29                 16.45
28.67                 16.32
36.31                 13.25
28.25                 18.39
31.16                 18.97
29.35                 15.50
35.21                 11.88
30.86                 15.46
27.89                 12.68
35.64                 16.87
33.87                 10.60
29.16                 12.57
30.33                 14.39
36.35                 16.00
33.67                 16.23
28.32                 17.03
35.82                 17.54
30.01                 16.60
28.95                 17.55
28.97                 15.22
37.67                 12.97
27.48                 14.20
28.35                 17.71
27.21                 16.12
21.75                 13.07
31.86                 16.31
27.63                 12.87
35.81                 14.95
36.27                 15.77
32.86                 15.65
26.09                 13.22
25.92                 17.19
31.54                 12.32
29.99                 12.09
33.66                 13.42
21.15                 17.23
31.41                 13.04
31.80                 12.82
33.36                 15.31
33.85                 15.80
29.51                 15.64
32.11                 15.63
30.79                 16.28
36.16                 12.99
36.61                 12.90
20.49                 12.77
21.59                 13.56
29.16                 18.61
27.26                 13.86
30.03                 12.51
31.77                 14.11
30.57                 13.92
33.75                 18.18
40.32                 15.77
31.81                 13.31
26.05                 13.59
29.95                 14.33
28.62                 13.95
32.01                 13.68
41.66                 12.65
30.91                 7.02
28.14                 13.53
31.36                 17.57
32.84                 12.06
25.95                 15.54
32.13                 15.12
25.96                 17.38
35.45                 14.504
