Time(secs)        Temperature(C)
0.0                 7.01
1.0                 7.17
2.0                 7.74
3.0                 11.96
4.0                 10.28
5.0                 11.15
6.0                 14.18
7.0                 9.66
8.0                 10.33
9.0                 14.44
10.0                 8.85
11.0                 7.49
12.0                 4.67
13.0                 7.84
14.0                 7.61
15.0                 11.24
16.0                 11.18
17.0                 9.87
18.0                 10.51
19.0                 16.31
20.0                 8.06
21.0                 13.39
22.0                 10.03
23.0                 9.97
24.0                 9.75
25.0                 8.64
26.0                 10.12
27.0                 9.60
28.0                 10.97
29.0                 10.29
30.0                 13.30
31.0                 15.54
32.0                 10.50
33.0                 9.66
34.0                 11.95
35.0                 8.63
36.0                 7.79
37.0                 11.79
38.0                 7.66
39.0                 8.95
40.0                 7.66
41.0                 10.01
42.0                 9.19
43.0                 9.28
44.0                 10.29
45.0                 10.49
46.0                 7.94
47.0                 9.04
48.0                 10.00
49.0                 9.43
50.0                 10.68
51.0                 8.38
52.0                 3.40
53.0                 7.93
54.0                 8.69
55.0                 10.70
56.0                 9.55
57.0                 8.51
58.0                 8.27
59.0                 7.70
60.0                 6.60
61.0                 9.63
62.0                 6.85
63.0                 9.85
64.0                 7.33
65.0                 7.26
66.0                 10.09
67.0                 12.17
68.0                 8.33
69.0                 7.43
70.0                 11.99
71.0                 8.39
72.0                 9.58
73.0                 8.05
74.0                 8.42
75.0                 12.92
76.0                 9.34
77.0                 12.41
78.0                 8.97
79.0                 8.37
80.0                 11.37
81.0                 11.78
82.0                 8.54
83.0                 11.86
84.0                 11.96
85.0                 8.96
86.0                 6.72
87.0                 12.68
88.0                 11.02
89.0                 9.22
90.0                 10.84
91.0                 10.94
92.0                 9.67
93.0                 11.79
94.0                 11.39
95.0                 8.48
96.0                 9.80
97.0                 10.38
98.0                 10.09
99.0                 7.13
