Time (secs)	Temperature (C)	Pressure (lbs/in**2)	Volume (cm**3)
0.00	25.70	13.28	101.30
1.00	28.58	13.47	100.93
2.00	25.16	19.17	104.95
3.00	31.72	13.91	100.52
4.00	24.40	15.06	98.92
5.00	21.78	16.81	98.59
6.00	30.51	15.90	101.15
7.00	26.31	14.52	97.07
8.00	30.65	18.20	98.60
9.00	35.18	14.75	96.99
10.00	33.59	17.17	100.13
11.00	28.45	18.64	101.28
12.00	27.60	16.44	101.38
13.00	25.99	15.58	103.61
14.00	30.16	16.52	99.14
15.00	32.23	11.30	101.79
16.00	24.07	12.51	98.27
17.00	32.87	18.78	100.37
18.00	27.63	14.75	99.17
19.00	29.85	16.71	101.30
20.00	28.85	11.71	102.66
21.00	30.41	18.32	99.25
22.00	30.04	17.88	100.03
23.00	26.21	15.19	99.50
24.00	27.22	18.02	97.94
25.00	29.03	13.65	97.89
26.00	20.92	15.43	97.95
27.00	34.11	13.87	100.81
28.00	28.25	12.75	100.62
29.00	29.71	15.20	97.76
30.00	28.06	12.81	99.05
31.00	30.26	19.50	98.61
32.00	29.51	13.10	97.81
33.00	32.38	16.93	96.26
34.00	21.39	12.75	100.85
35.00	22.60	13.63	97.21
36.00	30.92	10.09	98.42
37.00	32.11	14.82	103.89
38.00	32.72	15.66	98.20
39.00	30.51	14.64	101.78
40.00	27.53	13.94	101.22
41.00	29.45	12.61	96.40
42.00	30.43	12.35	100.45
43.00	25.86	18.75	99.22
44.00	31.29	13.15	101.10
45.00	28.02	14.10	98.74
46.00	30.80	15.72	101.96
47.00	25.29	15.34	99.49
48.00	31.04	13.33	101.84
49.00	29.19	18.13	100.55
50.00	30.26	14.68	100.44
51.00	23.33	13.13	100.55
52.00	20.67	15.29	102.18
53.00	32.42	10.51	96.33
54.00	27.52	12.88	98.46
55.00	32.47	20.15	97.64
56.00	28.80	13.95	99.45
57.00	25.84	14.17	97.89
58.00	21.85	12.91	101.02
59.00	28.97	15.27	100.25
60.00	22.79	13.74	97.86
61.00	29.17	18.92	103.78
62.00	29.75	16.48	102.11
63.00	23.77	17.88	102.01
64.00	32.63	13.56	103.99
65.00	24.27	13.22	100.46
66.00	32.21	16.51	100.42
67.00	35.00	14.41	99.12
68.00	31.69	17.83	100.85
69.00	27.13	15.16	101.10
70.00	35.49	9.29	95.42
71.00	33.95	13.10	100.86
72.00	29.89	15.02	99.09
73.00	28.00	14.75	102.71
74.00	20.50	14.60	99.26
75.00	25.70	16.64	101.64
76.00	25.38	13.32	99.45
77.00	26.48	11.77	99.41
78.00	37.16	16.22	99.77
79.00	32.58	13.94	96.51
80.00	29.08	14.72	98.59
81.00	33.75	13.39	99.95
82.00	26.56	13.42	98.34
83.00	30.49	12.72	95.60
84.00	26.48	13.93	100.54
85.00	31.06	16.70	102.71
86.00	28.55	12.40	102.07
87.00	27.65	18.65	98.55
88.00	31.66	17.65	99.94
89.00	25.06	11.62	102.81
90.00	27.56	14.31	101.41
91.00	27.81	17.93	98.92
92.00	28.62	18.04	99.28
93.00	30.75	14.55	103.06
94.00	33.96	13.99	98.32
95.00	28.67	15.75	96.44
96.00	35.28	15.69	100.50
97.00	29.53	13.72	101.01
98.00	25.57	11.11	100.78
99.00	32.50	18.52	102.80
